Name,EXTINCT,CRENDANGERED,ENDANGERED,VULNERABLE,THREATENED,TOTAL
Antarctica,0,0,1,7,5,210
Bouvet Island,0,0,0,2,0,99
French Southern Territories,1,5,11,16,8,"1,081"
Heard Island and McDonald Islands,0,0,4,9,1,147
South Georgia and the South Sandwich Islands,0,0,4,5,5,223
Anguilla,1,9,19,40,19,"1,304"
Antigua and Barbuda,3,12,19,42,24,"1,421"
Aruba,0,7,16,34,22,"1,224"
Bahamas,2,14,31,55,37,"1,962"
Barbados,1,13,19,40,26,"1,429"
Bermuda,5,31,15,30,21,"1,096"
"Bonaire, Sint Eustatius and Saba",1,11,16,47,25,"1,418"
Cayman Islands,1,12,25,34,30,"1,339"
Cuba,7,38,89,82,68,"2,226"
Curaçao,0,10,19,39,22,"1,312"
Dominica,1,11,22,42,30,"1,465"
Dominican Republic,8,34,72,74,61,"1,804"
Grenada,0,11,18,43,24,"1,426"
Guadeloupe,7,17,25,47,33,"1,428"
Haiti,9,73,63,74,53,"1,762"
Jamaica,3,25,49,55,41,"1,602"
Martinique,6,11,20,33,25,"1,340"
Montserrat,0,9,17,41,23,"1,295"
Puerto Rico,5,19,31,43,38,"1,709"
Saint Barthélemy,0,6,14,30,13,918
Saint Kitts and Nevis,1,10,16,42,24,"1,358"
Saint Lucia,3,10,26,40,26,"1,414"
Saint Martin (French part),0,9,16,40,17,"1,190"
Saint Vincent and the Grenadines,1,9,21,43,26,"1,447"
Sint Maarten (Dutch part),0,9,16,40,15,"1,158"
Trinidad and Tobago,0,15,23,54,38,"2,176"
Turks and Caicos Islands,0,7,19,43,26,"1,329"
"Virgin Islands, British",0,14,21,43,25,"1,442"
"Virgin Islands, U.S.",1,11,22,35,25,"1,417"
China,4,118,205,337,257,"6,508"
Hong Kong,0,13,25,42,31,"1,201"
Japan,14,58,175,283,282,"4,819"
"Korea, Democratic People's Republic of",1,9,29,58,38,954
"Korea, Republic of",1,15,42,72,55,"1,591"
Macao,0,5,10,11,4,489
Mongolia,0,5,10,24,29,636
"Taiwan, Province of China",0,28,77,229,221,"3,972"
Åland Islands,0,0,0,0,0,24
Albania,1,23,51,77,85,"1,376"
Andorra,0,0,4,10,22,366
Austria,3,25,59,52,91,"1,207"
Belgium,1,6,10,36,52,897
Bosnia and Herzegovina,0,13,45,66,67,"1,232"
Bulgaria,0,17,30,74,87,"1,270"
Croatia,1,37,55,111,98,"1,680"
Czechia,0,4,26,32,59,915
Denmark,0,7,7,44,45,859
Estonia,0,2,4,20,28,597
Faroe Islands,1,5,5,19,16,373
Finland,0,5,5,24,43,663
France,8,37,113,186,176,"2,836"
Germany,4,18,61,68,93,"1,335"
Gibraltar,0,9,10,39,21,654
Greece,4,87,158,260,161,"2,522"
Greenland,1,2,5,20,7,272
Guernsey,0,1,1,12,3,229
Holy See (Vatican City State),0,0,0,2,3,30
Hungary,0,7,26,43,58,916
Iceland,1,5,7,22,19,439
Ireland,1,11,10,41,37,964
Isle of Man,0,1,2,4,3,95
Italy,3,54,140,194,213,"2,558"
Jersey,0,1,1,13,2,237
Latvia,0,2,6,27,39,666
Liechtenstein,0,0,3,7,25,460
Lithuania,0,2,4,21,35,637
Luxembourg,0,2,3,7,21,517
Malta,0,12,12,38,24,702
Monaco,0,10,8,26,13,477
Montenegro,1,22,64,67,86,"1,364"
Netherlands,1,8,6,39,53,940
North Macedonia,2,20,45,70,59,"1,005"
Norway,0,9,12,45,51,851
Poland,1,3,24,38,58,960
Portugal,6,114,116,153,152,"2,588"
Romania,2,20,50,76,77,"1,281"
San Marino,0,1,0,4,5,77
Serbia,0,12,38,55,64,"1,082"
Slovakia,0,6,23,37,63,944
Slovenia,0,16,44,114,58,"1,449"
Spain,2,87,182,249,284,"3,523"
Svalbard and Jan Mayen,0,0,1,10,6,96
Sweden,0,6,9,40,58,873
Switzerland,6,6,45,56,79,"1,100"
United Kingdom,2,14,20,64,60,"1,253"
Belize,1,11,34,63,54,"2,363"
Costa Rica,4,41,92,159,104,"4,137"
El Salvador,0,9,26,58,46,"1,853"
Guatemala,3,48,97,133,82,"3,394"
Honduras,4,68,84,115,84,"3,599"
Mexico,20,211,354,372,239,"6,860"
Nicaragua,1,27,38,101,77,"3,399"
Panama,2,56,93,132,118,"4,318"
Algeria,2,22,43,82,51,"1,303"
Egypt,1,20,41,133,127,"2,330"
Libya,0,16,20,49,27,902
Morocco,2,36,66,105,74,"1,945"
Tunisia,11,21,28,65,46,"1,148"
Western Sahara,0,13,24,47,33,"1,176"
Canada,9,18,31,88,74,"2,247"
Saint Pierre and Miquelon,0,2,5,16,14,438
United States,231,239,313,574,341,"8,149"
Belarus,0,3,3,23,36,565
Moldova,1,6,5,23,31,521
Russian Federation,3,30,52,121,126,"2,394"
Ukraine,2,12,32,59,68,"1,170"
American Samoa,1,3,21,79,79,"1,507"
Australia,41,146,275,628,445,"8,223"
Christmas Island,4,3,16,31,27,"1,061"
Cocos (Keeling) Islands,0,1,13,34,24,951
Cook Islands,15,1,16,52,50,"1,210"
Fiji,1,28,57,172,160,"2,407"
French Polynesia,59,43,27,70,58,"1,683"
