Country,Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs,Other Invertebrates,Total
Antarctica,2,5,0,0,1,0,0,8
Bouvet Island,1,1,0,0,0,0,0,2
French Southern Territories,3,13,7,0,9,0,0,34
Heard Island and McDonald Islands,1,10,0,0,2,0,0,13
South Georgia and the South Sandwich Islands,3,6,0,0,0,0,0,9
Anguilla,1,0,8,0,49,0,10,71
Antigua and Barbuda,2,3,8,0,49,0,11,75
Aruba,2,1,2,0,50,1,1,62
Bahamas,5,9,13,0,60,1,12,128
Barbados,3,3,7,0,48,0,11,76
Bermuda,4,3,4,0,35,2,28,84
"Bonaire, Sint Eustatius and Saba",3,1,7,0,52,0,11,80
Cayman Islands,1,1,11,0,44,2,12,94
Cuba,10,17,44,49,66,0,23,400
Curaçao,3,1,5,0,48,0,11,72
Dominica,3,6,3,2,50,0,11,90
Dominican Republic,6,17,59,32,47,0,19,267
Grenada,3,2,7,1,49,0,10,78
Guadeloupe,4,4,14,3,48,1,15,101
Haiti,3,17,66,49,61,0,14,426
Jamaica,7,10,29,20,48,0,15,342
Martinique,1,5,9,2,45,2,0,76
Montserrat,2,3,4,1,46,0,11,74
Puerto Rico,2,11,16,14,50,0,0,164
Saint Barthélemy,1,0,4,0,34,0,11,52
Saint Kitts and Nevis,2,2,6,1,47,0,10,72
Saint Lucia,2,7,9,0,47,0,11,87
Saint Martin (French part),2,1,7,0,45,0,10,67
Saint Vincent and the Grenadines,2,4,8,1,48,0,10,80
Sint Maarten (Dutch part),2,1,7,0,45,0,10,66
Trinidad and Tobago,3,6,7,4,62,0,10,145
Turks and Caicos Islands,2,3,8,0,46,0,10,79
"Virgin Islands, British",1,2,15,2,48,0,10,102
"Virgin Islands, U.S.",1,3,14,3,47,0,0,89
China,77,96,55,138,208,15,71,"1,346"
Hong Kong,5,20,7,6,32,1,9,96
Japan,29,50,26,44,164,58,145,588
"Korea, Democratic People's Republic of",10,29,2,1,50,0,4,118
"Korea, Republic of",12,33,3,5,68,0,8,170
Macao,0,4,1,0,20,0,1,26
Mongolia,11,24,0,0,2,0,2,43
"Taiwan, Province of China",12,24,14,10,143,2,129,425
Åland Islands,0,0,0,0,0,0,0,1
Albania,4,8,5,1,59,52,22,156
Andorra,2,3,1,0,0,3,5,15
Austria,5,13,1,0,11,43,63,224
Belgium,3,8,0,0,19,6,16,78
Bosnia and Herzegovina,5,9,3,1,50,19,37,130
Bulgaria,10,18,2,0,20,32,39,143
Croatia,10,16,4,2,78,50,43,240
Czechia,4,10,0,0,2,6,40,126
Denmark,2,10,0,0,26,5,15,90
Estonia,1,11,0,0,4,4,6,56
Faroe Islands,4,5,0,0,20,0,0,34
Finland,2,12,0,0,5,3,12,68
France,13,19,5,3,74,94,128,460
Germany,7,12,0,0,30,31,67,251
Gibraltar,4,10,0,1,35,5,3,59
Greece,12,19,10,4,97,180,183,592
Greenland,9,6,0,0,12,0,0,30
Guernsey,0,0,0,0,13,1,0,14
Holy See (Vatican City State),2,0,0,0,0,0,0,2
Hungary,6,14,1,0,10,8,37,141
Iceland,6,7,0,0,20,0,1,40
Ireland,4,9,1,0,41,4,3,90
Isle of Man,0,0,0,0,7,0,0,8
Italy,9,19,4,9,73,86,188,557
Jersey,0,0,0,0,13,2,0,16
Latvia,1,13,0,0,5,4,12,46
Liechtenstein,0,3,0,0,0,2,5,15
Lithuania,1,11,0,0,5,3,7,43
Luxembourg,0,3,0,0,1,5,3,17
Malta,3,6,1,0,43,5,4,67
Monaco,4,0,0,0,36,2,2,46
Montenegro,7,13,4,1,51,23,54,163
Netherlands,4,10,0,0,22,5,12,82
North Macedonia,7,14,2,0,13,71,28,148
Norway,8,11,0,0,32,3,12,134
Poland,4,13,0,0,7,7,34,110
Portugal,15,17,5,3,88,87,168,539
Romania,14,18,2,0,21,25,66,169
San Marino,1,1,0,0,2,1,0,5
Serbia,8,14,1,0,15,8,59,121
Slovakia,5,13,0,0,5,7,36,131
Slovenia,8,11,2,2,51,33,67,208
Spain,18,24,20,8,98,167,183,852
Svalbard and Jan Mayen,4,4,0,0,3,0,0,12
